Country Name,Country Code,Series Name,Series Code,GDP1985,GDP1990,GDP1995,GDP2000,GDP2005,GDP2010,GDP2015
St. Kitts and Nevis,KNA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,15302.55135,22472.07896,26016.96978,29908.54997,33007.12672,33004.41626,36959.86288
St. Vincent and the Grenadines,VCT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,6787.480498,8428.608768,10003.55339,11419.71325,14085.16676,14988.2771,15815.00795
Sudan,SDN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,298.0190862,322.1370623,353.2839177,410.216005,485.1627159,595.4573311,757.2011172
Suriname,SUR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,14142.3427,12801.82303,11641.38797,11631.10716,15010.6984,17551.2071,18975.09093
Swaziland,SWZ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,14049.35591,21525.21174,22409.16188,23358.00181,26835.4112,29621.51544,31679.9425
Sweden,SWE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,246149.0218,270376.4293,271628.7039,322131.1866,360348.6411,375340.873,397753.3738
Switzerland,CHE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,59820.39412,66622.21227,63960.75991,70172.71267,73011.96533,77463.60898,78771.77167
Syrian Arab Republic,SYR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,49026.49857,45160.26277,57519.88951,56450.72627,64780.5711,..,..
Tajikistan,TJK,GDP per capita (constant LCU),NY.GDP.PCAP.KN,954.4759076,885.6298112,308.3271528,288.8323145,418.7749452,517.1960601,648.3581716
Tanzania,TZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,498440.4343,463976.7669,504190.8839,621465.9763,714558.5433,849550.7837
Thailand,THA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,40214.95691,60401.87939,85526.58165,83810.99984,103981.0489,123372.3691,139378.9044
Timor-Leste,TMP,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,656.2911289,643.3816959,884.2761079,983.5078292
Togo,TGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,201878.085,196012.6641,173926.6531,189030.8893,174600.4918,178495.6338,199124.1109
Tonga,TON,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5182.147457,5192.233479,6206.666041,6697.439171,7199.298023,7253.254062,7551.555995
Trinidad and Tobago,TTO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,31669.56321,27096.23669,28267.63612,40513.80937,58434.47626,69117.11888,69166.92155
Tunisia,TUN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,3128.000095,3219.054878,3542.431024,4366.846899,5035.311467,5978.373202,6195.875026
Turkey,TUR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,785.033718,939.3054547,1015.033546,1145.417759,1333.611967,1464.320783,1668.738536
